0,0
1,1
2,5
3,10
4,18
5,26
6,34
7,42
8,50
9,58
10,66
11,74
12,82
13,90
14,98
15,105
16,113
17,120
18,124
19,127
20,127
21,127
22,128
23,128
24,128
25,128
26,127
27,127
28,128
29,128
30,128
31,128
32,127
33,127
34,127
35,127
36,127
37,128
38,128
39,128
40,128
41,128
42,127
43,127
44,127
45,127
46,127
47,127
48,127
49,127
50,127
51,127
52,127
53,127
54,127
55,127
56,127
57,127
58,127
59,127
60,128
61,128
62,127
63,127
